Month,Hashtag,Mention,Website
2011-12,None,None,None
2012-01,None,guilherme_oc,None
2012-02,None,None,dlvr.it
2012-03,None,Aa_Rizaa,None
2012-04,#cuacabdg,None,None
2012-05,None,None,bit.ly
2012-06,None,None,None
2012-07,None,None,None
2012-08,None,None,None
2012-09,#INFO,MORGANOUS_ID,None
2012-10,None,drastianysm,None
2012-11,None,None,None
2012-12,None,Boss_Btc_Yonnaa,None
2013-01,None,btc_imSMOOTH,None
2013-02,None,None,dlvr.it
2013-03,None,Btc_ImFree,None
2013-04,#FUCKfiatCurrency,YourAnonNews,None
2013-05,None,None,None
2013-06,None,None,None
2013-07,None,NindiHyde,None
2013-08,None,None,None
2013-09,#ビットコイン,None,None
2013-10,#ビットコイン,None,None
2013-11,#ビットコイン,None,None
2013-12,None,trutherbot,None
2014-01,#ビットコイン,None,None
2014-02,None,None,bitcointicker.co
2014-03,#ビットコイン,None,None
2014-04,#ビットコイン,None,None
2014-05,#ビットコイン,None,None
2014-06,#ビットコイン,None,None
2014-07,#Panama,None,goo.gl
2014-08,#Hempcoin,None,None
2014-09,#ビットコイン,konvertin,blockchain.info
2014-10,#Hempcoin,None,None
2014-11,#ビットコイン,konvertin,blockchain.info
2014-12,None,None,lgts.eventbrite.com
2015-01,#ビットコイン,konvertin,blockchain.info
2015-02,#India,None,None
2015-03,#ビットコイン,konvertin,blockchain.info
2015-04,#ビットコイン,konvertin,blockchain.info
2015-05,#ビットコイン,konvertin,blockchain.info
2015-06,#ビットコイン,konvertin,blockchain.info
2015-07,#ビットコイン,konvertin,blockchain.info
2015-08,#ビットコイン,konvertin,blockchain.info
2015-09,None,None,goo.gl
2015-10,#1,YouTube,RDPMain.com
2015-11,#ビットコイン,konvertin,blockchain.info
2015-12,#ビットコイン,konvertin,blockchain.info
2016-01,#ビットコイン,konvertin,blockchain.info
2016-02,#fintech,None,sh.st
2016-03,#fintech,None,None
2016-04,#ビットコイン,konvertin,blockchain.info
2016-05,#Bitfinex,None,www.projectcoin.org
2016-06,#fintech,None,sh.st
2016-07,#fintech,None,sh.st
2016-08,#ビットコイン,konvertin,blockchain.info
2016-09,None,None,solebtc.com
2016-10,None,None,www.bitclub.network
2016-11,None,Excellion,None
2016-12,None,YouTube,youtu.be
2017-01,None,None,None
2017-02,None,None,None
2017-03,#420algohttps,None,twitter.com
2017-04,#ビットコイン,konvertin,blockchain.info
2017-05,None,Bitcoin,None
2017-06,#bitstamp,None,None
2017-07,None,None,www.luno.com
2017-08,#BCC,None,blockchair.com
2017-09,None,None,None
2017-10,None,None,None
2017-11,None,bitcoingoldより,bitcoingold.org
2017-12,#Ether,None,hashflare.io
2018-01,None,None,None
2018-02,#ETH,medical_chain,None
2018-03,None,lunomoney,www.luno.com
2018-04,None,None,None
2018-05,#Binance,None,None
2018-06,None,None,None
2018-07,None,None,None
2018-08,#EOS,None,cryptocurrencytracker.info
2018-09,#Ethereum,None,None
2018-10,#Ethereum,None,None
2018-11,None,None,None
2018-12,#Blockchain,None,www.etherflyer.com
2019-01,#Altın,vedicnorm,None
2019-02,#1H,None,None
2019-03,#EOS,None,cryptocurrencytracker.info
2019-04,None,None,None
2019-05,None,None,None
