Unnamed: 0,Gender,Ever_Married,Age,Graduated,Profession,Work_Experience,Spending_Score,Family_Size,Shop_Day,Shop_Other,Shop_Dairy,Shop_Household,Shop_Meat,Group,Avg_Shop,Avg_Shop_Range
0,Male,No,22.0,No,Healthcare,1.0,average,4.0,4.0,13.357999999999999,12.344000000000001,7.289,-5.184,D,6.952000000000001,5-15
1,Female,Yes,38.0,Yes,Engineer,1.0,average,3.0,4.0,4.0489999999999995,5.01,3.9360000000000004,2.6210000000000004,A,3.904,-5
2,Female,Yes,67.0,Yes,Engineer,1.0,low,1.0,6.0,9.349,3.823,2.95,0.583,B,4.176,-5
3,Male,Yes,67.0,Yes,Lawyer,0.0,high,2.0,6.0,-0.617,-2.289,6.696000000000001,3.299,B,1.7719999999999998,-5
4,Male,Yes,56.0,No,Artist,0.0,average,2.0,6.0,10.27,11.683,12.74,4.996,C,9.922,5-15
5,Male,No,32.0,Yes,Healthcare,1.0,low,3.0,6.0,13.422,2.968,5.226,5.37,C,6.746,5-15
6,Female,No,33.0,Yes,Healthcare,1.0,low,3.0,6.0,12.074000000000002,1.829,7.381,6.3839999999999995,D,6.917000000000001,5-15
7,Female,Yes,61.0,Yes,Engineer,0.0,low,3.0,7.0,8.891,2.658,-1.026,6.459,D,4.246,-5
8,Female,Yes,55.0,Yes,Artist,1.0,average,4.0,6.0,13.46,4.421,9.754,14.732000000000001,C,10.592,5-15
9,Female,No,26.0,Yes,Engineer,1.0,low,3.0,6.0,5.523,7.129,4.218999999999999,1.4480000000000002,A,4.58,-5
10,Male,No,19.0,No,Healthcare,4.0,low,4.0,4.0,0.815,9.21,3.605,3.516,D,4.2860000000000005,-5
11,Female,No,19.0,No,Executive,0.0,low,3.0,3.0,5.433,0.9009999999999999,7.14,2.543,D,4.004,-5
12,Male,Yes,70.0,No,Lawyer,1.0,low,1.0,6.0,9.222999999999999,4.712,3.6,1.725,A,4.815,-5
13,Female,Yes,58.0,No,Doctor,0.0,low,1.0,3.0,5.66,5.343999999999999,2.991,5.292000000000001,B,4.822,-5
14,Female,No,41.0,No,Healthcare,1.0,low,2.0,1.0,13.282,7.001,17.051,13.82,C,12.788,5-15
15,Female,No,32.0,No,Homemaker,9.0,low,5.0,3.0,4.605,6.702999999999999,3.325,9.863,D,6.124,5-15
16,Male,No,40.0,No,Healthcare,1.0,low,6.0,6.0,0.72,6.0120000000000005,2.465,1.889,B,2.7710000000000004,-5
17,Male,Yes,58.0,Yes,Entertainment,1.0,average,4.0,6.0,2.403,6.108,-2.562,5.181,B,2.782,-5
18,Female,Yes,79.0,Yes,Artist,0.0,high,1.0,6.0,15.093,9.787,6.952000000000001,9.758,C,10.398,5-15
19,Male,Yes,49.0,Yes,Homemaker,12.0,low,1.0,3.0,5.06,3.602,5.364,3.717,A,4.436,-5
20,Female,No,18.0,No,Healthcare,3.0,low,4.0,6.0,8.086,2.0140000000000002,1.119,0.7,D,2.98,-5
21,Male,Yes,33.0,Yes,Artist,13.0,low,2.0,3.0,6.082999999999999,4.769,8.39,5.881,A,6.281000000000001,5-15
22,Female,No,36.0,Yes,Artist,5.0,low,2.0,6.0,9.64,5.49,4.114,1.057,B,5.075,5-15
23,Male,Yes,56.0,No,Artist,1.0,average,3.0,6.0,20.129,10.460999999999999,9.783,4.437,C,11.202,5-15
24,Male,No,31.0,No,Healthcare,9.0,low,8.0,4.0,9.208,3.8169999999999997,1.224,3.865,A,4.5280000000000005,-5
25,Male,Yes,49.0,Yes,Artist,1.0,average,3.0,6.0,9.113999999999999,9.325,15.802999999999999,13.83,C,12.017999999999999,5-15
26,Male,No,35.0,Yes,Artist,0.0,average,1.0,6.0,3.2939999999999996,0.868,1.761,4.754,B,2.6689999999999996,-5
27,Female,No,35.0,No,Artist,5.0,average,4.0,6.0,6.06,5.745,6.643,10.377,C,7.206,5-15
28,Female,Yes,45.0,Yes,Artist,0.0,low,3.0,6.0,8.48,12.193,6.167000000000001,6.8629999999999995,C,8.426,5-15
29,Female,Yes,42.0,No,Doctor,1.0,low,2.0,4.0,5.034,6.7170000000000005,4.985,2.783,A,4.88,-5
30,Male,No,19.0,No,Healthcare,1.0,low,3.0,2.0,6.275,5.928,5.155,3.425,D,5.196000000000001,5-15
31,Male,No,26.0,No,Homemaker,9.0,low,3.0,6.0,11.682,0.071,0.342,3.04,D,3.784,-5
32,Female,Yes,83.0,No,Lawyer,1.0,high,2.0,6.0,5.114,7.542000000000001,7.068,1.7169999999999999,D,5.36,5-15
33,Female,No,27.0,Yes,Healthcare,3.0,low,4.0,1.0,14.349,9.642999999999999,1.79,5.995,D,7.944,5-15
34,Male,No,32.0,No,Doctor,5.0,low,3.0,4.0,6.94,11.151,7.382000000000001,3.2739999999999996,D,7.187,5-15
35,Female,Yes,28.0,No,Healthcare,1.0,average,5.0,3.0,8.193,6.278,9.816,7.59,D,7.968999999999999,5-15
36,Female,Yes,28.0,Yes,Artist,8.0,average,2.0,6.0,6.666,3.748,2.603,3.5660000000000003,A,4.146,-5
37,Male,Yes,56.0,Yes,Artist,1.0,average,2.0,6.0,8.466000000000001,-0.7170000000000001,10.577,11.84,C,7.542000000000001,5-15
38,Female,No,47.0,Yes,Artist,4.0,low,1.0,6.0,8.847999999999999,1.3230000000000002,6.7379999999999995,3.656,B,5.141,5-15
39,Female,No,22.0,No,Healthcare,0.0,average,2.0,6.0,10.324000000000002,0.992,7.968999999999999,-3.01,D,4.069,-5
40,Female,No,40.0,Yes,Artist,14.0,average,3.0,6.0,4.586,2.68,6.247999999999999,5.511,A,4.756,-5
41,Male,Yes,40.0,No,Engineer,8.0,low,1.0,6.0,6.767,4.562,5.3229999999999995,1.442,A,4.524,-5
42,Female,Yes,79.0,No,Lawyer,1.0,high,2.0,6.0,4.312,5.074,11.035,3.6489999999999996,A,6.018,5-15
43,Male,Yes,41.0,Yes,Artist,0.0,average,4.0,4.0,-0.02,1.409,6.702000000000001,0.087,B,2.045,-5
44,Female,No,29.0,Yes,Healthcare,1.0,average,1.0,7.0,8.87,9.701,7.17,1.537,A,6.82,5-15
45,Male,No,19.0,No,Healthcare,0.0,low,4.0,6.0,8.956,5.129,4.811,-1.508,D,4.3469999999999995,-5
46,Female,No,45.0,Yes,Engineer,1.0,low,1.0,6.0,7.843999999999999,4.147,7.678,4.966,A,6.159,5-15
47,Female,Yes,61.0,No,Artist,1.0,average,2.0,2.0,2.127,2.819,6.584,-0.976,B,2.638,-5
48,Female,Yes,36.0,Yes,Artist,1.0,average,2.0,6.0,11.456,-0.617,14.174000000000001,14.674000000000001,C,9.922,5-15
49,Male,Yes,40.0,Yes,Artist,1.0,low,1.0,3.0,7.416,2.59,3.766,3.8510000000000004,A,4.406000000000001,-5
50,Female,Yes,57.0,Yes,Entertainment,0.0,average,2.0,6.0,20.154,14.844000000000001,6.98,17.265,C,14.811,5-15
51,Male,Yes,76.0,No,Marketing,1.0,low,1.0,4.0,9.722999999999999,9.238999999999999,8.231,7.327999999999999,A,8.63,5-15
52,Male,Yes,32.0,Yes,Artist,14.0,average,2.0,6.0,6.228,8.306000000000001,5.555,-0.894,B,4.7989999999999995,-5
53,Male,No,25.0,Yes,Healthcare,9.0,low,4.0,6.0,7.773,7.957000000000001,0.025,4.671,D,5.107,5-15
54,Female,Yes,45.0,Yes,Artist,1.0,average,3.0,3.0,16.795,8.53,11.225,10.39,C,11.735,5-15
55,Male,Yes,72.0,Yes,Lawyer,1.0,low,3.0,4.0,5.917000000000001,-1.8769999999999998,8.799,1.615,D,3.614,-5
56,Male,Yes,48.0,Yes,Artist,0.0,average,2.0,6.0,14.929,14.037,18.159000000000002,7.007999999999999,C,13.533,5-15
