Gender,Ever_Married,Age,Graduated,Profession,Work_Experience,Spending_Score,Family_Size,Shop_Day,Shop_Other,Shop_Dairy,Shop_Household,Shop_Meat,Group
Male,No,22.0,No,Healthcare,1.0,average,4.0,4,13.358,12.344,7.289,-5.184,D
Female,Yes,38.0,Yes,Engineer,2.648,average,3.0,4,4.049,5.01,3.936,2.621,A
Female,Yes,67.0,Yes,Engineer,1.0,low,1.0,6,9.349,3.823,2.95,0.583,B
Male,Yes,67.0,Yes,Lawyer,0.0,high,2.0,6,-0.617,-2.289,6.696,3.299,B
Male,Yes,56.0,No,Artist,0.0,average,2.0,5,10.27,11.683,12.74,4.996,C
Male,No,32.0,Yes,Healthcare,1.0,low,3.0,6,13.422,2.968,5.226,5.37,C
Female,No,33.0,Yes,Healthcare,1.0,low,3.0,6,12.074,1.829,7.381,6.384,D
Female,Yes,61.0,Yes,Engineer,0.0,low,3.0,7,8.891,2.658,-1.026,6.459,D
Female,Yes,55.0,Yes,Artist,1.0,average,4.0,6,13.46,4.421,9.754,14.732,C
Female,No,26.0,Yes,Engineer,1.0,low,3.0,6,5.523,7.129,4.219,1.448,A
Male,No,19.0,No,Healthcare,4.0,low,4.0,4,0.815,9.21,3.605,3.516,D
Female,No,19.0,No,Executive,0.0,low,2.849,3,5.433,0.901,7.14,2.543,D
Male,Yes,70.0,No,Lawyer,2.648,low,1.0,6,9.223,4.712,3.6,1.725,A
Female,Yes,58.0,No,Doctor,0.0,low,1.0,3,5.66,5.344,2.991,5.292,B
Female,No,41.0,No,Healthcare,1.0,low,2.0,1,13.282,7.001,17.051,13.82,C
Female,No,32.0,No,Homemaker,9.0,low,5.0,3,4.605,6.703,3.325,9.863,D
Male,No,43.47,No,Healthcare,1.0,low,6.0,6,0.72,6.012,2.465,1.889,B
Male,Yes,58.0,Yes,Entertainment,1.0,average,4.0,6,2.403,6.108,-2.562,5.181,B
Female,Yes,79.0,Yes,Artist,0.0,high,1.0,6,15.093,9.787,6.952,9.758,C
Male,Yes,49.0,Yes,Homemaker,12.0,low,1.0,3,5.06,3.602,5.364,3.717,A
Female,No,18.0,No,Healthcare,3.0,low,4.0,6,8.086,2.014,1.119,0.7,D
Male,Yes,33.0,Yes,Artist,13.0,low,2.0,3,6.083,4.769,8.39,5.881,A
Female,No,36.0,Yes,Artist,5.0,low,2.0,6,9.64,5.49,4.114,1.057,B
Female,No,58.0,No,Executive,1.0,average,3.0,3,4.753,3.916,4.1,6.067,B
Male,Yes,56.0,No,Artist,1.0,average,3.0,6,20.129,10.461,9.783,4.437,C
Male,No,31.0,No,Healthcare,9.0,low,8.0,4,9.208,3.817,1.224,3.865,A
Male,Yes,49.0,Yes,Artist,1.0,average,3.0,6,9.114,9.325,15.803,13.83,C
Male,No,35.0,Yes,Artist,0.0,average,1.0,5,3.294,0.868,1.761,4.754,B
Female,No,35.0,No,Artist,5.0,average,4.0,6,6.06,5.745,6.643,10.377,C
Female,Yes,45.0,Yes,Artist,0.0,low,3.0,6,8.48,12.193,6.167,6.863,C
Female,Yes,42.0,No,Doctor,1.0,low,2.0,4,5.034,6.717,4.985,2.783,A
Male,No,19.0,No,Healthcare,1.0,low,3.0,2,6.275,5.928,5.155,3.425,D
Male,No,26.0,No,Homemaker,9.0,low,2.849,6,11.682,0.071,0.342,3.04,D
Female,Yes,83.0,No,Lawyer,1.0,high,2.0,6,5.114,7.542,7.068,1.717,D
Female,No,27.0,Yes,Healthcare,3.0,low,4.0,1,14.349,9.643,1.79,5.995,D
Male,No,32.0,No,Doctor,5.0,low,2.849,4,6.94,11.151,7.382,3.274,D
Female,Yes,28.0,No,Healthcare,1.0,average,5.0,3,8.193,6.278,9.816,7.59,D
Female,Yes,28.0,Yes,Artist,8.0,average,2.0,6,6.666,3.748,2.603,3.566,A
Male,Yes,56.0,Yes,Artist,2.648,average,2.0,6,8.466,-0.717,10.577,11.84,C
Female,No,47.0,Yes,Artist,4.0,low,1.0,6,8.848,1.323,6.738,3.656,B
Female,No,22.0,No,Healthcare,0.0,average,2.0,6,10.324,0.992,7.969,-3.01,D
Female,No,43.47,Yes,Artist,14.0,average,3.0,6,4.586,2.68,6.248,5.511,A
Male,Yes,40.0,No,Engineer,8.0,low,1.0,6,6.767,4.562,5.323,1.442,A
Female,Yes,79.0,No,Lawyer,2.648,high,2.0,6,4.312,5.074,11.035,3.649,A
Male,Yes,41.0,Yes,Artist,0.0,average,4.0,4,-0.02,1.409,6.702,0.087,B
Female,No,29.0,Yes,Healthcare,2.648,average,1.0,7,8.87,9.701,7.17,1.537,A
Male,No,19.0,No,Healthcare,0.0,low,4.0,6,8.956,5.129,4.811,-1.508,D
Female,No,45.0,Yes,Engineer,1.0,low,1.0,6,7.844,4.147,7.678,4.966,A
Female,Yes,61.0,No,Artist,1.0,average,2.0,2,2.127,2.819,6.584,-0.976,B
Female,Yes,36.0,Yes,Artist,1.0,average,2.0,6,11.456,-0.617,14.174,14.674,C
Male,Yes,40.0,Yes,Artist,1.0,low,1.0,3,7.416,2.59,3.766,3.851,A
Female,Yes,57.0,Yes,Entertainment,0.0,average,2.0,6,20.154,14.844,6.98,17.265,C
Male,Yes,76.0,No,Marketing,1.0,low,1.0,4,9.723,9.239,8.231,7.328,A
Male,Yes,32.0,Yes,Artist,14.0,average,2.0,6,6.228,8.306,5.555,-0.894,B
Male,No,25.0,Yes,Healthcare,9.0,low,4.0,6,7.773,7.957,0.025,4.671,D
Male,No,32.0,No,Doctor,8.0,low,2.0,6,9.623,7.427,8.043,6.12,D
Female,Yes,45.0,Yes,Artist,1.0,average,3.0,3,16.795,8.53,11.225,10.39,C
Male,Yes,72.0,Yes,Lawyer,1.0,low,2.849,4,5.917,-1.877,8.799,1.615,D
Male,Yes,48.0,Yes,Artist,0.0,average,2.0,6,14.929,14.037,18.159,7.008,C
Male,Yes,55.0,Yes,Artist,9.0,average,2.0,1,10.938,3.669,9.629,3.569,C
Male,Yes,74.0,Yes,Lawyer,0.0,high,3.0,6,15.205,6.609,-0.198,8.524,D
Male,Yes,56.0,Yes,Lawyer,1.0,high,2.0,6,6.616,7.0,4.448,5.815,A
Male,Yes,59.0,Yes,Lawyer,7.0,high,2.0,6,4.509,5.937,5.631,5.125,A
Male,No,25.0,Yes,Entertainment,0.0,low,2.0,6,7.758,3.136,6.526,3.462,A
Male,Yes,31.0,Yes,Doctor,0.0,average,2.0,6,4.931,3.085,5.944,4.969,A
Male,No,27.0,No,Artist,8.0,low,4.0,6,8.618,5.702,3.062,2.97,A
Male,Yes,57.0,Yes,Artist,0.0,average,4.0,6,5.281,1.565,2.797,-0.03,B
Female,Yes,39.0,Yes,Homemaker,2.648,high,2.0,6,2.193,6.689,2.148,1.441,A
Male,Yes,27.0,Yes,Healthcare,8.0,low,2.0,6,12.898,7.534,7.336,-1.239,D
Female,Yes,51.0,Yes,Entertainment,8.0,average,2.0,6,6.95,6.082,5.286,2.092,A
Female,Yes,47.0,No,Artist,0.0,average,5.0,6,6.301,-0.184,3.333,-4.684,B
Female,No,33.0,No,Healthcare,8.0,low,4.0,5,7.765,9.793,0.83,10.688,D
Male,Yes,56.0,Yes,Artist,0.0,average,4.0,6,12.074,1.687,1.594,9.625,C
Female,No,33.0,No,Homemaker,0.0,low,3.0,6,3.932,5.37,3.922,-0.277,B
Female,No,36.0,Yes,Doctor,0.0,low,2.0,6,7.814,6.653,5.809,6.032,D
Male,Yes,51.0,No,Artist,4.0,low,3.0,4,7.722,8.069,3.514,3.842,A
Male,Yes,45.0,Yes,Engineer,2.0,average,2.0,6,17.502,10.182,14.007,7.092,C
Male,No,30.0,No,Healthcare,0.0,low,4.0,6,4.071,7.086,10.578,6.216,C
Female,No,26.0,No,Healthcare,6.0,low,3.0,5,6.528,6.183,6.822,8.606,D
Male,Yes,63.0,Yes,Artist,8.0,low,1.0,6,6.07,6.954,4.156,3.127,A
Male,Yes,35.0,No,Entertainment,8.0,average,4.0,3,-4.104,3.48,3.309,2.361,B
Female,No,19.0,No,Marketing,1.0,low,3.0,4,4.167,5.204,6.193,5.992,A
Male,No,32.0,No,Healthcare,7.0,low,5.0,6,4.544,5.09,7.195,3.861,D
Male,Yes,52.0,Yes,Artist,0.0,average,3.0,6,14.148,-4.249,11.587,10.493,C
Female,Yes,36.0,Yes,Artist,5.0,low,2.0,6,6.867,8.823,-0.729,6.178,C
Female,No,42.0,No,Entertainment,7.0,average,3.0,4,6.207,5.941,1.456,6.457,D
Male,Yes,43.47,No,Doctor,0.0,average,2.0,3,12.904,10.331,0.852,0.625,D
Male,No,39.0,Yes,Entertainment,0.0,low,3.0,1,1.51,1.161,5.879,2.159,B
Female,Yes,47.0,Yes,Artist,1.0,average,4.0,3,15.96,3.067,1.504,6.837,C
Female,Yes,61.0,Yes,Artist,1.0,high,2.0,6,19.345,3.736,3.472,13.312,C
Male,Yes,32.0,No,Entertainment,1.0,low,2.0,3,9.071,9.876,3.373,5.96,D
Male,Yes,55.0,No,Artist,0.0,low,1.0,6,11.117,6.57,3.945,-5.016,B
Male,Yes,58.0,Yes,Artist,2.648,average,1.0,6,9.892,3.93,7.81,8.925,D
Male,Yes,63.0,Yes,Artist,0.0,average,2.0,6,13.079,10.156,8.181,14.524,C
Male,Yes,58.0,Yes,Doctor,1.0,average,2.0,6,14.849,6.204,13.801,1.017,C
Male,Yes,43.47,No,Engineer,3.0,average,3.0,4,9.918,3.149,4.196,4.052,D
Male,Yes,60.0,Yes,Artist,0.0,average,4.0,6,19.743,12.468,15.042,13.332,C
Male,Yes,68.0,No,Executive,1.0,high,7.0,6,6.295,1.69,4.88,3.234,B
Male,Yes,52.0,No,Artist,0.0,low,3.0,4,4.808,1.663,2.025,4.024,A
