ID,Gender,Ever_Married,Age,Graduated,Profession,Work_Experience,Spending_Score,Family_Size,Shop_Day,Shop_Other,Shop_Dairy,Shop_Household,Shop_Meat,Group
462809.0,Male,No,22.0,No,Healthcare,1.0,average,4.0,4.0,13.358,12.344,7.289,-5.184,D
462643.0,Female,Yes,38.0,Yes,Engineer,,Average,3.0,4.0,4.049,5.01,3.936,2.621,A
466315.0,Female,Yes,67.0,Yes,Engineer,1.0,Low,1.0,6.0,9.349,3.823,2.95,0.583,B
461735.0,Male,Yes,67.0,Yes,Lawyer,0.0,High,2.0,6.0,-0.617,-2.289,6.696,3.299,B
462669.0,Female,Yes,40.0,Yes,Entertainment,,,6.0,6.0,6.318,5.407,5.391,2.58,A
461319.0,Male,Yes,56.0,No,Artist,0.0,average,2.0,,10.27,11.683,12.74,4.996,C
460156.0,Male,No,32.0,Yes,Healthcare,1.0,Low,3.0,6.0,13.422,2.968,5.226,5.37,C
464347.0,Female,No,33.0,Yes,Healthcare,1.0,Low,3.0,6.0,12.074,1.829,7.381,6.384,D
465015.0,Female,Yes,61.0,Yes,Engineer,0.0,Low,3.0,7.0,8.891,2.658,-1.026,6.459,D
465176.0,Female,Yes,55.0,Yes,Artist,1.0,Average,4.0,6.0,13.46,4.421,9.754,14.732,C
464041.0,Female,No,26.0,Yes,Engineer,1.0,Low,3.0,6.0,5.523,7.129,4.219,1.448,A
464942.0,Male,No,19.0,No,Healthcare,4.0,Low,4.0,4.0,0.815,9.21,3.605,3.516,D
461230.0,Female,No,19.0,No,Executive,0.0,Low,,3.0,5.433,0.901,7.14,2.543,D
459573.0,Male,Yes,70.0,No,Lawyer,,Low,1.0,6.0,9.223,4.712,3.6,1.725,A
460849.0,Female,Yes,58.0,No,Doctor,0.0,Low,1.0,3.0,5.66,5.344,2.991,5.292,B
460563.0,Female,No,41.0,No,Healthcare,1.0,Low,2.0,1.0,13.282,7.001,17.051,13.82,C
466865.0,Female,No,32.0,No,Homemaker,9.0,Low,5.0,3.0,4.605,6.703,3.325,9.863,D
461644.0,Male,No,,No,Healthcare,1.0,Low,6.0,6.0,0.72,6.012,2.465,1.889,B
466772.0,Male,Yes,58.0,Yes,Entertainment,1.0,Average,4.0,6.0,2.403,6.108,-2.562,5.181,B
464291.0,Female,Yes,79.0,Yes,Artist,0.0,High,1.0,6.0,15.093,9.787,6.952,9.758,C
466084.0,Male,Yes,49.0,Yes,Homemaker,12.0,Low,1.0,3.0,5.06,3.602,5.364,3.717,A
459675.0,Female,No,18.0,No,Healthcare,3.0,Low,4.0,6.0,8.086,2.014,1.119,0.7,D
465602.0,Male,Yes,33.0,Yes,Artist,13.0,Low,2.0,3.0,6.083,4.769,8.39,5.881,A
459168.0,Female,No,36.0,Yes,Artist,5.0,Low,2.0,6.0,9.64,5.49,4.114,1.057,B
461021.0,Female,,58.0,No,Executive,1.0,Average,3.0,3.0,4.753,3.916,4.1,6.067,B
